Package,Version,Ecosystem,SPDX Licence,Category,Risk,Direct/Transitive,Evidence Source,Notes
PDF4QT (host),1.5.2,C++ (CMake),MIT,Permissive,Low,—,LICENSE (root),Copyright © 2018–2025 Jakub Melka and Contributors
tbb (oneTBB),latest (vcpkg),C++ (vcpkg),Apache-2.0,Permissive,Low,Direct,https://github.com/uxlfoundation/oneTBB/blob/master/LICENSE.txt,Apache-2.0 NOTICE file must be preserved in binary distributions
openssl,≥ 3.0 (vcpkg),C++ (vcpkg),Apache-2.0,Permissive,Low,Direct,3rdparty_licenses/OpenSSL_license.txt + https://openssl-library.org/source/license,OpenSSL ≥ 3.0 only. If 1.x were used the dual OpenSSL/SSLeay licence would apply
lcms (Little CMS 2),2.x (vcpkg),C++ (vcpkg),MIT,Permissive,Low,Direct,3rdparty_licenses/LittleCMS_COPYING.txt + https://www.littlecms.com,Standard MIT; no special obligations beyond attribution notice
zlib,1.x (vcpkg),C++ (vcpkg),Zlib,Permissive,Low,Direct,3rdparty_licenses/zlib_README.txt + https://zlib.net/zlib_license.html,Custom Zlib licence (SPDX: Zlib); no binary attribution required
openjpeg,2.x (vcpkg),C++ (vcpkg),BSD-2-Clause,Permissive,Low,Direct,3rdparty_licenses/OpenJPEG_LICENSE.txt + https://github.com/uclouvain/openjpeg/blob/master/LICENSE,Retain copyright notice in documentation
freetype,2.x (vcpkg),C++ (vcpkg),FTL (FreeType Licence),Permissive,Low,Direct,3rdparty_licenses/freetype_FTL.TXT + https://freetype.org/license.html,Dual FTL/GPL-2.0; FTL chosen (confirmed by licence file present in repo). FTL requires credit clause in documentation
libjpeg-turbo,3.x (vcpkg),C++ (vcpkg),IJG + BSD-3-Clause,Permissive,Low,Direct,3rdparty_licenses/libjpeg_README.txt + https://github.com/libjpeg-turbo/libjpeg-turbo/blob/main/LICENSE.md,Binary distributions must include IJG acknowledgement statement and (if TurboJPEG API used) Modified BSD text
libpng,1.6.x (vcpkg),C++ (vcpkg),libpng (PNG Ref Library Licence v2),Permissive,Low,Direct,https://libpng.org/pub/png/src/libpng-LICENSE.txt,No licence file in 3rdparty_licenses/ — consider adding. Permissive; no binary attribution required
blend2d,2025-11-29 (vcpkg overlay),C++ (vcpkg overlay),Zlib,Permissive,Low,Direct,vcpkg/overlays/general/blend2d/vcpkg.json + https://github.com/blend2d/blend2d/blob/master/LICENSE.md,No licence file in 3rdparty_licenses/ — consider adding. Zlib licence; no binary attribution required
asmjit,2025-12-13 (vcpkg overlay),C++ (vcpkg overlay),Zlib,Permissive,Low,Transitive (via blend2d JIT feature),vcpkg/overlays/general/asmjit/vcpkg.json + https://github.com/asmjit/asmjit/blob/master/LICENSE.md,No licence file in 3rdparty_licenses/ — consider adding. Zlib licence; no binary attribution required
Qt6 (Core / Gui / Widgets / Xml / Svg / PrintSupport / TextToSpeech),6.x,C++ (system / vcpkg_with_qt.json),LGPL-3.0,Weak copyleft,Medium,Direct,https://doc.qt.io/qt-6/licensing.html + https://doc.qt.io/qt-6/qttexttospeech-index.html,LGPL-3.0 requires users to be able to relink against modified Qt. Dynamic linking in current builds satisfies this. Downstream closed-source commercial use requires a commercial Qt licence.
